evidence_id,municipality,field,value,source_name,publisher,source_url,source_type,published_date,confirmed_date,confidence,verification_status,note
E001,共通,対象自治体（11市）,那覇/宜野湾/石垣/浦添/名護/糸満/沖縄/豊見城/うるま/宮古島/南城,市町村一覧,沖縄県,https://www.pref.okinawa.jp/kensei/shinko/1016703/1016705/1016773/1022609/1016816.html,1_自治体公式サイト,不明,2026-09-15,C,未検証（ドメイン遮断）,11市11町19村＝41市町村。市の一覧は検索結果と一致するが原資料未確認
E002,共通,人口（市町村別）,不明,令和7年国勢調査速報 沖縄県の人口と世帯数,沖縄県企画部統計課,https://www.pref.okinawa.lg.jp/toukeika/pc/2025/R07sokuhou.pdf,8_公的資料,2026-05-29,2026-09-15,C,未検証（ドメイン遮断）,PDF取得不可。人口の確定にはこの資料または沖縄県推計人口のいずれかに統一して採用すること
E003,共通,人口（推計・月次）,不明,沖縄県推計人口（令和7年12月1日現在）,沖縄県企画部統計課,https://www.pref.okinawa.jp/toukeika/estimates/2025/pop202512.pdf,8_公的資料,2025-12,2026-09-15,C,未検証（ドメイン遮断）,月次推計。国勢調査値と混在させないこと
E004,共通,自治体職員総数,不明,市町村職員数の状況,沖縄県,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1016773/1022612/1016807.html,4_職員配置表・行政機構資料,不明,2026-09-15,C,未検証（ドメイン遮断）,Excel形式で市町村別職員数を掲載との情報。total_staffの第一候補出典
E005,共通,自治体職員総数（全国比較用）,不明,地方公共団体定員管理関係データ（令和6年）,総務省,https://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/teiin/251225data.html,8_公的資料,不明,2026-09-15,C,未検証（ドメイン遮断）,普通会計職員数の統一基準。E004と定義が異なる場合はこちらを優先
E006,共通,市町村行財政概況,不明,市町村行財政概況（第67集）令和6年3月,沖縄県,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1016767/1027027/1029992.html,8_公的資料,2024-03,2026-09-15,C,未検証（ドメイン遮断）,財政規模（交絡要因3）の出典候補
E007,共通,県の市町村DX支援,不明,沖縄県DX人材確保育成市町村支援事業,沖縄県,https://www.pref.okinawa.lg.jp/machizukuri/johoif/1013564/1013572.html,8_公的資料,不明,2026-09-15,C,未検証（ドメイン遮断）,交絡要因10（県の支援事業）の確認先
E008,共通,県・市町村の連携体制,不明,沖縄県・市町村DX推進連絡会,沖縄県,https://www.pref.okinawa.lg.jp/machizukuri/johoif/1013564/1013571.html,8_公的資料,不明,2026-09-15,C,未検証（ドメイン遮断）,11市の参加状況・取組共有資料が入手できる可能性あり
E009,共通,CIO補佐官等の制度,不明,自治体DXの推進／デジタル人材の確保・育成,総務省,https://www.soumu.go.jp/denshijiti/dejitarujinzai.html,8_公的資料,不明,2026-09-15,C,未検証（ドメイン遮断）,V-2判定の制度的背景。CIO補佐官等の任用は特別交付税措置の対象
E101,那覇市,dx_department,企画財務部 企画調整課 DX推進室,DX推進室,那覇市,https://www.city.naha.okinawa.jp/soshiki/0002/00020001/000200010006/index.html,1_自治体公式サイト,不明,2026-09-15,C,未検証（ドメイン遮断）,令和4年4月に企画調整課デジタル化推進室から改称との情報。組織階層は課内室 ／※D020 で一次資料確認済（確度更新）
